Family,Species,Hunting Method/Web Usage,Record,Body Length Total,Ceph Length,Ceph Width,Abdom Length,Abdom Width,Leg I Fe,Leg I Pa,Leg I Ti,Leg I Mt,Leg I Ta,Leg II Fe,Leg II Pa,Leg II Ti,Leg II Mt,Leg II Ta,Leg III Fe,Leg III Pa,Leg III Ti,Leg III Mt,Leg III Ta,Leg IV Fe,Leg IV Pa,Leg IV Ti,Leg IV Mt,Leg IV Ta
Lycosidae,Dingosa serrata,Ground hunter,WAMT62470,15.38,6.88,5,8.5,6.75,5.88,NA,NA,4.25,2.38,4.75,NA,NA,4.13,2.38,4.5,NA,NA,4.38,2.38,6.13,NA,NA,6.75,2.63
Lycosidae,Hogna rollys crispipes,Ground hunter,KS8177,13.473,6.451,4.735,7.022,5.085,5.992,2.785,5.032,4.427,2.675,5.397,2.773,4.794,4.56,3.088,5.308,2.257,4.136,4.08,2.538,5.781,2.41,5.313,6.588,3.334
Lycosidae,Hogna senilis,Ground hunter,QMS71446,12.8,6.3,3.4,6.5,3.7,4.5,1.9,4.3,3.8,2.4,4.1,2,3.6,3.7,2.1,3.5,1.7,3.1,4,2.1,5.5,2.4,4.6,6.2,2.6
Lycosidae,Kangarosa alboguttulata,Ground hunter,QMS66403,8.3,4.4,3.1,3.9,3,2.5,1.4,1.9,2.1,1.3,2.2,1.2,2.1,2.2,1.2,2,1.8,1.8,2.2,1,2.5,1.4,2.7,3.2,1.3
Lycosidae,Kangarosa ludwig,Ground hunter,KS115421,5.881,3.1,2.158,2.781,1.788,1.63,0.898,1.232,1.176,0.894,1.92,0.967,1.381,1.172,0.875,1.897,0.94,1.069,1.22,0.823,2.249,0.971,2.013,2.281,1.051
Lycosidae,Kangarosa pandura,Ground hunter,KS86504,8.559,4.473,3.119,4.086,2.812,3.39,1.684,2.052,2.519,1.287,2.623,1.7,2.1,2.177,1.418,2.534,1.167,1.536,1.897,1.297,3.295,1.487,2.245,3.669,1.395
Lycosidae,Kangarosa properipes,Ground hunter,K7766,9.993,5.511,3.155,4.482,3.22,3.715,1.374,3.267,3.668,1.713,3.672,1.116,3.16,3.144,1.483,2.729,0.848,4.027,3.767,1.328,4.759,2.057,2.942,4.074,1.323
Lycosidae,Kangarosa tristicula,Ground hunter,KS122824,8,3.9,3.3,4.1,3.1,2.6,1.3,1.975,1.675,0.75,2.5,0.775,2.45,1.975,1.225,2.125,1.25,1.3,NA,NA,2.525,1.1,1.425,1.925,1.075
Lycosidae,Knoelle clara,Ground hunter,WAMT58372,19.6,11.2,8.03,8.4,6.18,8.28,NA,NA,6.18,3.58,7.66,NA,NA,6.18,3.33,7.04,NA,NA,6.67,3.33,8.65,NA,NA,9.02,4.32
Lycosidae,Tasmanicosa leuckartii,Burrow,KS21003,22.487,12.465,9.262,10.022,6.587,8.932,4.74,6.431,6.781,3.234,7.893,3.791,5.23,5.285,2.348,6.95,2.824,5.067,6.395,3.375,9.649,2.733,6.979,10.269,3.452
Lycosidae,Tasmanicosa gilberta,Ground hunter,K8223,16.881,7.537,4.562,9.344,6.263,4.818,1.925,4.002,3.74,2.624,5.347,2.339,3.564,3.702,2.282,4.837,1.712,3.174,3.394,1.616,6.397,1.859,5.597,4.222,2.55
Lycosidae,Tasmanicosa semicincta,Ground hunter,KS85359,20.138,10.745,7.938,9.393,6.975,8.242,3.058,5.813,4.97,2.874,6.971,3.428,5.054,4.909,3.326,6.36,3.105,4.607,5.959,3.662,6.246,2.88,6.43,8.182,3.605
Lycosidae,Tuberculosa hoggi,Ground hunter,QMS25168,5.1,2.45,1.65,2.65,1.75,1.75,0.9,1.25,0.95,0.65,1.55,0.8,1.05,0.9,0.7,1.4,0.75,1,1.05,0.55,1.9,0.7,1.4,1.9,0.65
Lycosidae,Venator spenceri,Ground hunter,KS63922,11.1,5.55,4.45,5.55,5,4.05,1.8,2.85,2.8,1.85,3.95,1.6,1.6,2.3,1.5,3.2,1.55,2.35,2.85,1.75,3.95,1.5,3.25,4.3,2.5
Lycosidae,Venatrix arenaris,Ground hunter,KS54832,9.989,4.661,2.899,5.328,3.494,3.492,1.269,2.307,2.19,1.71,3.18,1.141,1.652,1.864,1.675,3.127,1.1,1.983,2.576,1.695,3.665,1.483,3,3.285,2.117
Lycosidae,Venatrix australiensis,Ground hunter,KS37040,12.806,6.504,5.917,6.302,4.383,5.26,2.315,4.003,3.548,2.102,4.633,2.232,2.584,3.254,2.294,4.266,1.839,3.013,3.678,1.916,5.645,2.23,2.491,5.023,2.332
Lycosidae,Venatrix brisbanae,Ground hunter,QMS21422,6.25,3.6,2.4,2.65,2.3,2.25,1.1,1.55,1.2,1,1.9,1.25,1.2,1.25,0.8,1.75,1,1,1.5,0.95,2.05,1.05,1.65,2.6,1.325
